base_id,name,bigg_id,kegg_id,formula,charge,confidence
m312,N(omega)-(L-Arginino)succinate,argsuc,C03406,C10H17N4O6,-1.0,database
m313,L-Citrulline,citr__L,C00327,C6H14N3O3,0.0,database
m314,tRNA(Arg),,,,,unmatched
m315,arginyl-tRNA(Arg),argtrna,,,,high
m316,L-Arginine,arg__L,C00062,C6H15N4O2,0.0,database
m317,TRNA(Arg),trnaarg,,C15H21N5O10PR,0.0,database
m318,arginyl-tRNA(Arg),argtrna,,,,high
m319,L-Asparagine,asn__L,C00152,C4H8N2O3,0.0,database
m320,tRNA(Asn),,,,,unmatched
m321,TRNA Asn  C10H17O10PR2,trnaasn,,HOX,0.0,database
m322,L-Asparagine,asn__L,C00152,C4H8N2O3,0.0,database
m323,Fe2+ mitochondria,fe2,,Fe,2.0,database
m324,TRNA Asn  C10H17O10PR2,trnaasn,,HOX,0.0,database
m325,Carbamoyl phosphate,cbp,C00169,CH2NO5P,-2.0,database
m326,N-carbamoyl-L-aspartate,ncmylasp,C00438,C5H6N2O5,0.0,database
m327,4-Phospho-L-aspartate,4pasp,C03082,C4H6NO7P,-2.0,database
m328,Oxaloacetate,oaa,C00036,C4H2O5,-2.0,database
m329,L-Aspartate,asp__L,C00049,C4H6NO4,0.0,database
m330,2-Oxoglutarate,akg,C00026,C5H4O5,0.0,database
m331,L-Aspartate,asp__L,C00049,C4H6NO4,0.0,database
m332,L-Glutamate,glu__L,C00025,C5H8NO4,0.0,database
m333,Oxaloacetate,oaa,C00036,C4H2O5,-2.0,database
m334,L-Aspartate 4-semialdehyde,aspsa,C00441,C4H7NO3,0.0,database
m335,tRNA(Asp),,,,,unmatched
m336,aspartyl-tRNA(Asp),asptrna,,,,high
m337,TRNA(Asp),trnaasp,,R,0.0,database
m338,aspartyl-tRNA(Asp),asptrna,,,,high
m339,"P1-(5'-adenosyl),P4-(5'-guanosyl) tetraphosphate",,,,,unmatched
m340,"P1,P4-Bis(5'-guanosyl) tetraphosphate",gp4g,,C20H24N10O21P4,-4.0,database
m341,1-(5-Phosphoribosyl)-ATP,prbatp,,C15H19N5O20P4,-6.0,database
m342,Ps hs 18 1 18 1[c],ps_hs_18_1_18_1,,,,database
m343,GDP-D-mannose,gdpmann,C00096,C16H23N5O16P2,-2.0,database
m344,"N,N'-Diacetylchitobiosyldiphosphodolichol",chito2pdol,,C111H182N2O17P2,-2.0,database
