class,mnxm,met_id,model_formula,metanetx_formula,metanetx_charge,H_diff,met_name
only_H,MNXM124,m467[C_cy],C7H19N3,C7H22N3,3,-3,spermidine_C7H19N3
only_H,MNXM1364433,m484[C_cy],C9H14N5O7P,C9H12N5O7P,-2,2,"7,8-dihydroneopterin 3'-phosphate_C9H14N5O7P"
only_H,MNXM252,m485[C_cy],C5H6N2O4,C5H5N2O4,-1,1,(S)-dihydroorotate_C5H6N2O4
only_H,MNXM1202,m488[C_mi],C6H12O4,C6H11O4,-1,1,"(2R,3R)-2,3-dihydroxy-3-methylpentanoate_C6H12O4"
only_H,MNXM735139,m498[C_cy],C11H18N4O4,C11H19N4O4,1,-1,2-[3-carboxy-3-(methylammonio)propyl]-L-histidine_C11H18N4O4
only_H,MNXM1102191,m500[C_cy],C9H15N3O11P2,C9H12N3O11P2,-3,3,CDP_C9H15N3O11P2
only_H,MNXM257,m505[C_cy],C10H15N2O8P,C10H13N2O8P,-2,2,dTMP_C10H15N2O8P
only_H,MNXM152,m506[C_cy],C10H16N2O11P2,C10H13N2O11P2,-3,3,dTDP_C10H16N2O11P2
only_H,MNXM218,m508[C_cy],C2H7NO,C2H8NO,1,-1,ethanolamine_C2H7NO
only_H,MNXM1043,m516[C_pe],C10H20O2,C10H19O2,-1,1,decanoate_C10H20O2
only_H,MNXM750,m521[C_pe],C8H16O2,C8H15O2,-1,1,octanoate_C8H16O2
only_H,MNXM1364477,m524[C_mi],C34H34N4O4,C34H32N4O4,-2,2,protoporphyrin_C34H34N4O4
only_H,MNXM490899,m530[C_cy],C10H17N3O6S,C10H16N3O6S,-1,1,glutathione_C10H17N3O6S
only_H,MNXM741595,m531[C_cy],C11H17N3O7S,C11H16N3O7S,-1,1,S-formylglutathione_C11H17N3O7S
